,filename,tinstability
135,nonresIC135.bin,293000.0001193781
136,1000.0,1000.0
137,1000.0,1000.0
138,nonresIC138.bin,4838000.00012963
139,nonresIC139.bin,1000.0002294152674
140,nonresIC140.bin,7000.0002429164415
141,nonresIC141.bin,4000.00001162316
142,nonresIC142.bin,7000.000085512571
143,nonresIC143.bin,5000000.0
144,nonresIC144.bin,1151000.0002524194
145,nonresIC145.bin,5000000.0
146,nonresIC146.bin,1000.0002086465203
147,1000.0,1000.0
148,nonresIC148.bin,2000.0002629079581
149,nonresIC149.bin,4000.0000664653817
150,nonresIC150.bin,3392000.000184466
151,nonresIC151.bin,10000.000168879027
152,nonresIC152.bin,1000.0002504151006
153,nonresIC153.bin,2000.0000510381446
154,nonresIC154.bin,805000.0002307241
155,nonresIC155.bin,1000.0001630676232
156,nonresIC156.bin,1000.000008521691
157,nonresIC157.bin,5000000.0
158,nonresIC158.bin,442000.0002426225
159,nonresIC159.bin,5000000.0
160,nonresIC160.bin,8000.000117456406
161,nonresIC161.bin,37000.000215152875
162,1000.0,1000.0
163,nonresIC163.bin,5000000.0
164,nonresIC164.bin,3000.0002400433596
165,nonresIC165.bin,810000.0000448895
166,nonresIC166.bin,5000000.0
167,nonresIC167.bin,3094000.000276636
168,nonresIC168.bin,895000.0000693077
169,nonresIC169.bin,1000.0000362469868
170,nonresIC170.bin,35000.00018666215
171,nonresIC171.bin,1590000.000168762
172,nonresIC172.bin,5000000.0
173,nonresIC173.bin,1000.0000164651083
174,nonresIC174.bin,5000000.0
175,nonresIC175.bin,2000.0001798969668
176,1000.0,1000.0
177,nonresIC177.bin,4000.000177175197
178,nonresIC178.bin,1000.0001045260043
179,nonresIC179.bin,5000000.0
180,nonresIC180.bin,1000.0000264286189
181,nonresIC181.bin,5000000.0
182,nonresIC182.bin,254000.000213803
183,1000.0,1000.0
184,nonresIC184.bin,32000.000042956326
185,nonresIC185.bin,5000000.0
186,nonresIC186.bin,1000.0000556427432
187,1000.0,1000.0
188,nonresIC188.bin,22000.000275048296
189,nonresIC189.bin,3000.0000401983584
190,nonresIC190.bin,193000.00010504472
191,nonresIC191.bin,90000.00025501229
192,nonresIC192.bin,20000.00026246976
193,nonresIC193.bin,5000000.0
194,nonresIC194.bin,2000.0001606380824
195,nonresIC195.bin,143000.00019027968
196,1000.0,1000.0
197,nonresIC197.bin,1000.000101273865
198,nonresIC198.bin,101000.00014368366
199,1000.0,1000.0
