,K,mag,filename,phi_bcd,phi_cde,phi_def,phi_efg,phi_fgh
118,767.9,0.054628,IC118K7.6790e+02mag5.4628e-02.bin,9.757582309971118,57.49420988015918,130.10547569953917,76.06320245131943,36.061281292732495
119,496.24,0.031153,IC119K4.9624e+02mag3.1153e-02.bin,197.35306846126474,305.42508719535823,123.96995728212241,76.72807318523179,45.9720783111031
120,226.94,0.034584,IC120K2.2694e+02mag3.4584e-02.bin,162.11911369198552,54.87481640089371,228.63693880978053,282.3138439892111,180.0757813543685
123,247.14,0.007218,IC123K2.4714e+02mag7.2180e-03.bin,238.6103454697068,303.1937739862131,130.1347677830973,79.87626378348779,178.33259253260988
125,103.15,0.001488,IC125K1.0315e+02mag1.4880e-03.bin,137.53506532120153,59.94013453864863,190.63966763865994,283.6287343986433,172.35010723975392
127,111.6,0.0013179,IC127K1.1160e+02mag1.3179e-03.bin,162.50780841293061,64.4329016958468,135.45660012862774,58.81195301648679,46.94328049493407
130,19.198,0.0086027,IC130K1.9198e+01mag8.6027e-03.bin,112.01701863262578,166.9043913585624,136.18259101861378,61.06776155818825,59.7896601074496
131,199.67,0.69876,IC131K1.9967e+02mag6.9876e-01.bin,192.37778389313758,307.2195391497699,125.81718901295046,75.65252879578898,311.60655597061356
141,683.55,0.036913,IC141K6.8355e+02mag3.6913e-02.bin,203.13619670446897,47.52419522965683,229.24850622543505,288.9725261946808,12.113704466256442
142,636.98,0.047144,IC142K6.3698e+02mag4.7144e-02.bin,202.82333444665136,304.55332667853503,138.22870312836096,74.29345852480769,42.2946627518699
146,99.133,0.071899,IC146K9.9133e+01mag7.1899e-02.bin,189.38367242981087,179.16502543027147,259.436515075002,269.6518555227844,53.70870681899526
147,54.124,0.07924,IC147K5.4124e+01mag7.9240e-02.bin,220.29813978756803,285.7500285567079,134.65736148233145,94.32577278761237,305.03343236234065
149,578.92,0.86918,IC149K5.7892e+02mag8.6918e-01.bin,203.64933090567538,298.6061134128261,154.82523649509642,69.93755943938275,185.65386537891843
152,789.69,0.17019,IC152K7.8969e+02mag1.7019e-01.bin,136.8780490777914,352.5005975198578,157.68951212212792,79.40116818310396,131.18064850157887
154,103.62,0.077921,IC154K1.0362e+02mag7.7921e-02.bin,137.23509778228842,56.77860222245608,220.52712943926747,294.0361631122192,314.19981576122603
159,378.17,0.0038831,IC159K3.7817e+02mag3.8831e-03.bin,249.84122015876855,301.54942548008796,330.63732724951365,76.95035066798026,37.86650479838233
162,43.853,0.18504,IC162K4.3853e+01mag1.8504e-01.bin,192.94891362266273,300.5402116549633,123.89313822183479,92.05988267039861,176.7734965489724
163,238.74,0.02644,IC163K2.3874e+02mag2.6440e-02.bin,198.58642098992644,304.46866354174983,146.49166453078763,77.28553203862695,180.6736211607633
167,626.26,0.0031286,IC167K6.2626e+02mag3.1286e-03.bin,206.7484972186508,301.240003484148,164.7250098140807,76.72155843875812,184.04178760350098
168,156.89,0.036521,IC168K1.5689e+02mag3.6521e-02.bin,87.07593397711928,178.7060117936363,142.5121901863628,77.32750187690009,179.90310669432753
174,83.191,0.48859,IC174K8.3191e+01mag4.8859e-01.bin,159.3726097372925,66.9172950356774,198.07914358686585,280.02458115486957,180.93129668670744
178,111.99,0.0013034,IC178K1.1199e+02mag1.3034e-03.bin,204.6192525670645,301.48770620397437,141.01902836200392,68.83487953641783,42.524963213549526
179,795.99,0.0074402,IC179K7.9599e+02mag7.4402e-03.bin,200.48406956090412,304.9337421281771,132.94905006615238,76.18930138344203,178.62156124041454
188,105.67,0.23392,IC188K1.0567e+02mag2.3392e-01.bin,172.908867062237,36.892539521983615,162.2853068833151,62.39433670310877,184.81687819804122
190,309.21,0.076131,IC190K3.0921e+02mag7.6131e-02.bin,202.22449794779817,302.17521502136975,150.54821439671701,77.00265832867251,180.6666361057436
191,121.12,0.0058415,IC191K1.2112e+02mag5.8415e-03.bin,213.49035959159073,300.84225081422915,133.69952371644158,71.67684361055437,313.44168575454154
192,327.04,0.012526,IC192K3.2704e+02mag1.2526e-02.bin,142.55864073925923,59.64460338289864,133.2450376893121,79.01288660962672,179.5474807204973
196,239.34,0.054191,IC196K2.3934e+02mag5.4191e-02.bin,221.26048319207246,300.1293518650392,225.11499697539386,284.4982707145162,181.5563059347454
197,544.27,0.226,IC197K5.4427e+02mag2.2600e-01.bin,207.0287348232481,311.49886692595175,193.1273897774397,281.62186680306297,179.16895927741487
198,165.81,0.75289,IC198K1.6581e+02mag7.5289e-01.bin,168.49676218398747,191.65715108631662,143.60683648044073,69.72540542098088,185.96593069597927
201,16.897,0.17524,IC201K1.6897e+01mag1.7524e-01.bin,108.13055914225754,35.793599206494456,97.41780948526099,81.4276632244508,179.61473180623432
203,496.36,0.0036882,IC203K4.9636e+02mag3.6882e-03.bin,205.61201080392783,303.1124510701376,222.6147790799206,285.0697595281845,315.85172520842485
204,726.3,0.013919,IC204K7.2630e+02mag1.3919e-02.bin,138.27302198254256,54.71823006217468,36.18359590085459,280.3412620351252,220.26061183086668
205,832.76,0.048176,IC205K8.3276e+02mag4.8176e-02.bin,187.74989490906887,226.3828925538589,167.96463456252417,79.38946231078901,144.43402437825677
214,12.488,0.011673,IC214K1.2488e+01mag1.1673e-02.bin,171.4116316799955,300.762306356207,197.47177259156066,277.69121325364625,302.19464520359134
215,20.316,0.029424,IC215K2.0316e+01mag2.9424e-02.bin,40.794760406853854,165.4658318992502,100.75886066424995,78.5249910326431,183.6108891185116
220,52.518,0.013212,IC220K5.2518e+01mag1.3212e-02.bin,180.58044810704254,241.0995665230602,159.62014979471,24.454533814464067,39.28548295142105
221,123.92,0.78149,IC221K1.2392e+02mag7.8149e-01.bin,189.6842359419608,298.9805407149739,214.03889719029678,288.74962329221813,310.0562813117053
222,112.73,0.11375,IC222K1.1273e+02mag1.1375e-01.bin,157.64037731989887,60.12510405629587,183.82992798217407,303.5250789072442,321.0165491574748
223,427.34,0.23179,IC223K4.2734e+02mag2.3179e-01.bin,211.35374450664648,301.419085119331,223.63013391507994,279.6123851469465,46.3147642614232
226,616.47,0.010826,IC226K6.1647e+02mag1.0826e-02.bin,184.91668954255053,25.15218519270261,238.4809877838399,283.1234827061883,311.05205641760926
228,70.408,0.042192,IC228K7.0408e+01mag4.2192e-02.bin,231.717939796477,301.7192586559684,143.72308545436505,74.64044708400587,36.92837160824036
235,726.4,0.036993,IC235K7.2640e+02mag3.6993e-02.bin,163.08358919931968,58.61450752061874,198.94744210707324,280.00537176383887,179.11707893279956
237,945.4,0.0052018,IC237K9.4540e+02mag5.2018e-03.bin,173.5479942482206,171.0508084809766,116.78522075608669,81.59354757083787,284.12090069942275
239,41.655,0.0024514,IC239K4.1655e+01mag2.4514e-03.bin,185.5130620539664,185.37037819333287,139.12569679079198,70.01183044972304,49.02725318116445
240,38.638,0.019549,IC240K3.8638e+01mag1.9549e-02.bin,173.08934384282878,313.2001462359854,140.2612147513597,51.02790949547412,55.01009182815727
241,169.78,0.054315,IC241K1.6978e+02mag5.4315e-02.bin,168.61394238073257,288.11489973983856,156.24547629431422,64.91866125114373,321.88089149947444
